replay_id,pcap_path,packets_read,packets_received,recall_pct
1,pre-selected/replay_pcaps_contiguous/Benign_Final/BenignTraffic_contiguous_sample.pcap,5000,1880,37.6
2,pre-selected/replay_pcaps_contiguous/DDoS-ICMP_Flood/DDoS-ICMP_Flood_contiguous_sample.pcap,5000,4990,99.8
3,pre-selected/replay_pcaps_contiguous/DDoS-TCP_Flood/DDoS-TCP_Flood_contiguous_sample.pcap,5000,2900,58.0
4,pre-selected/replay_pcaps_contiguous/DDoS-UDP_Flood/DDoS-UDP_Flood_contiguous_sample.pcap,5000,610,12.2
5,pre-selected/replay_pcaps_contiguous/DNS_Spoofing/DNS_Spoofing_contiguous_sample.pcap,5000,80,1.6
6,pre-selected/replay_pcaps_contiguous/MITM-ArpSpoofing/MITM-ArpSpoofing_contiguous_sample.pcap,5000,20,0.4
7,pre-selected/replay_pcaps_contiguous/Mirai-greip_flood/Mirai-greip_flood_contiguous_sample.pcap,5000,350,7.0
8,pre-selected/replay_pcaps_contiguous/Mirai-udpplain/Mirai-udpplain_contiguous_sample.pcap,5000,0,0.0
9,pre-selected/replay_pcaps_contiguous/Recon-PortScan/Recon-PortScan_contiguous_sample.pcap,5000,1070,21.4
10,pre-selected/replay_pcaps_contiguous/VulnerabilityScan/VulnerabilityScan_contiguous_sample.pcap,5000,3330,66.6
