dataset,family,n_rows,proportion
watai,DDoS,9567793,0.6373836673030426
watai,DoS,3348287,0.22305493516039726
watai,Mirai,1105490,0.07364512070514492
watai,Benign,549940,0.03663569790824647
watai,Spoofing,243589,0.016227321194624597
watai,Recon,177077,0.01179644957358723
watai,Web,12344,0.0008223279902887488
watai,BruteForce,6522,0.0004344801646681156
watai,TOTAL,15011042,1.0
merged,DDoS,6669960,0.5988614381649411
merged,DoS,2170568,0.1948841483479361
merged,Mirai,1207823,0.10844422137894284
merged,Benign,523872,0.04703577522718937
merged,Recon,327914,0.029441713238822796
merged,Spoofing,219284,0.019688383679446496
merged,Web,12033,0.0010803812444810368
merged,BruteForce,6281,0.0005639387182402886
merged,TOTAL,11137735,1.0
