dataset,raw_subtype,mapped_family,n_rows
watai,DDoS-UDP_Flood,DDoS,2706424
watai,DDoS-SynonymousIP_Flood,DDoS,1566805
watai,DoS-UDP_Flood,DoS,1513483
watai,DDoS-SYN_Flood,DDoS,1121923
watai,DDoS-ICMP_Flood,DDoS,1098559
watai,DDoS-PSHACK_Flood,UNKNOWN,951049
watai,DoS-TCP_Flood,DoS,946714
watai,DDoS-TCP_Flood,DDoS,944036
watai,DoS-SYN_Flood,DoS,852204
watai,DDoS-RSTFINFlood,UNKNOWN,646939
watai,DDoS-ICMP_Fragmentation,DDoS,223211
watai,DDoS-UDP_Fragmentation,DDoS,143489
watai,DDoS-ACK_Fragmentation,DDoS,139268
watai,DoS-HTTP_Flood,DoS,35886
watai,DDoS-HTTP_Flood,DDoS,14439
watai,DDoS-SlowLoris,DDoS,11651
merged,DDOS-ICMP_FLOOD,UNKNOWN,1070309
merged,DDOS-UDP_FLOOD,UNKNOWN,1032487
merged,DDOS-SYN_FLOOD,UNKNOWN,944661
merged,DOS-UDP_FLOOD,UNKNOWN,927093
merged,DDOS-PSHACK_FLOOD,UNKNOWN,900865
merged,DDOS-TCP_FLOOD,UNKNOWN,847090
merged,DDOS-RSTFINFLOOD,UNKNOWN,702584
merged,DDOS-SYNONYMOUSIP_FLOOD,UNKNOWN,657878
merged,DOS-TCP_FLOOD,UNKNOWN,605289
merged,DOS-SYN_FLOOD,UNKNOWN,603756
merged,DDOS-ICMP_FRAGMENTATION,UNKNOWN,216224
merged,DDOS-UDP_FRAGMENTATION,UNKNOWN,137257
merged,DDOS-ACK_FRAGMENTATION,UNKNOWN,135625
merged,DOS-HTTP_FLOOD,UNKNOWN,34430
merged,DDOS-HTTP_FLOOD,UNKNOWN,13809
merged,DDOS-SLOWLORIS,UNKNOWN,11171
