dataset,metric,value
watai,duplicate_row_fraction,0.3569439470970819
watai,total_rows,23343287.0
merged,duplicate_row_fraction,0.505187026702361
merged,total_rows,22509620.0
watai,zero_fraction__flow_duration,0.542031291480073
watai,zero_fraction__Header_Length,0.16057772840645793
watai,zero_fraction__Duration,8.610612549980644e-06
watai,zero_fraction__Rate,0.0202937144199101
watai,zero_fraction__Srate,0.0202937144199101
watai,zero_fraction__Drate,0.9999368555079668
watai,zero_fraction__fin_flag_number,0.9134407249501751
watai,zero_fraction__syn_flag_number,0.7926910207632712
watai,zero_fraction__rst_flag_number,0.9095126577503845
watai,zero_fraction__psh_flag_number,0.9122728945585084
watai,zero_fraction__ack_flag_number,0.8765657124465804
watai,zero_fraction__ece_flag_number,0.9999988005116845
watai,zero_fraction__cwr_flag_number,0.9999993574169739
watai,zero_fraction__ack_count,0.8761361242741864
watai,zero_fraction__syn_count,0.6999687747488175
watai,zero_fraction__fin_count,0.8672788883587816
watai,zero_fraction__urg_count,0.7955355216255534
watai,zero_fraction__rst_count,0.7366108723248787
watai,zero_fraction__HTTP,0.9517371739464112
watai,zero_fraction__HTTPS,0.9449181685509843
watai,zero_fraction__DNS,0.9998662142139623
watai,zero_fraction__Telnet,0.9999999571611315
watai,zero_fraction__SMTP,0.9999999571611315
watai,zero_fraction__SSH,0.9999591745584073
watai,zero_fraction__IRC,0.999999785805658
watai,zero_fraction__TCP,0.4261047298094737
watai,zero_fraction__UDP,0.788162738178218
watai,zero_fraction__DHCP,0.9999982436063953
watai,zero_fraction__ARP,0.9999341138203887
watai,zero_fraction__ICMP,0.8362760565810633
watai,zero_fraction__IPv,0.00011232351296541914
watai,zero_fraction__LLC,0.00011232351296541914
watai,zero_fraction__Tot sum,0.0
watai,zero_fraction__Min,0.0
watai,zero_fraction__Max,0.0
watai,zero_fraction__AVG,0.0
watai,zero_fraction__Std,0.6798758889440035
watai,zero_fraction__Tot size,0.0
watai,zero_fraction__IAT,6.083119313916673e-06
watai,zero_fraction__Number,0.0
watai,zero_fraction__Magnitude,0.0
watai,zero_fraction__Radius,0.6878274255035292
watai,zero_fraction__Covariance,0.6878274255035292
watai,zero_fraction__Variance,0.6878274255035292
watai,zero_fraction__Weight,0.0
merged,zero_fraction__Header_Length,0.15945213646432058
merged,zero_fraction__Time_To_Live,9.373769970350455e-06
merged,zero_fraction__Rate,0.0
merged,zero_fraction__fin_flag_number,0.8860171340075932
merged,zero_fraction__syn_flag_number,0.7395184370060446
merged,zero_fraction__rst_flag_number,0.8753219290241239
merged,zero_fraction__psh_flag_number,0.8282355721686995
merged,zero_fraction__ack_flag_number,0.7444019490333467
merged,zero_fraction__ece_flag_number,0.9992868826750518
merged,zero_fraction__cwr_flag_number,0.9996885775948239
merged,zero_fraction__ack_count,0.7444019490333467
merged,zero_fraction__syn_count,0.7395184370060446
merged,zero_fraction__fin_count,0.8860170895821431
merged,zero_fraction__rst_count,0.8753219290241239
merged,zero_fraction__HTTP,0.9221386678229131
merged,zero_fraction__HTTPS,0.8561246258266466
merged,zero_fraction__DNS,0.9390448172825663
merged,zero_fraction__Telnet,0.9991863923069336
merged,zero_fraction__SMTP,0.9991904794483425
merged,zero_fraction__SSH,0.996912031389246
merged,zero_fraction__IRC,0.9990482291571338
merged,zero_fraction__TCP,0.35004295941024327
merged,zero_fraction__UDP,0.6873351926865047
merged,zero_fraction__DHCP,0.9944585914822196
merged,zero_fraction__ARP,0.9021217150711562
merged,zero_fraction__ICMP,0.7903314227428095
merged,zero_fraction__IGMP,0.9993329518668018
merged,zero_fraction__IPv,9.373769970350455e-06
merged,zero_fraction__LLC,9.373769970350455e-06
merged,zero_fraction__Tot sum,0.0
merged,zero_fraction__Min,0.0
merged,zero_fraction__Max,0.0
merged,zero_fraction__AVG,0.0
merged,zero_fraction__Std,0.7372309705805784
merged,zero_fraction__Tot size,0.0
merged,zero_fraction__IAT,6.175137563406224e-06
merged,zero_fraction__Number,0.0
merged,zero_fraction__Variance,0.7372309705805784
