feature,scope,watai_mean,merged_mean,watai_std,merged_std,watai_median,merged_median,watai_min,merged_min,watai_max,merged_max,watai_skew,merged_skew,standardized_mean_diff,ks_statistic,ks_pvalue
Number,ddos_dos_rows,9.498158257025665,99.89593635235498,0.08668172167110037,2.616516545476877,9.5,100.0,1.5,2.0,10.0,100.0,-68.34366287278584,-28.342793796372284,-48.83273830700958,0.9998110224316373,0.0
IAT,ddos_dos_rows,83115678.98858732,0.00017612285641573563,1730682.4616214014,0.004660597625086487,83102352.0,5.64193724130746e-05,0.0,1.5894572413799324e-07,100184840.0,1.836082935333252,-38.45536903573186,385.1427381120813,67.91732341306466,0.9996629631351401,0.0
Tot sum,ddos_dos_rows,941.6506711695519,11390.033575014646,1751.0591329763743,19561.193914093237,567.0,6000.0,63.0,120.0,27850.810546875,290884.0,4.684426493297087,3.8234685535542074,-0.7523771375065746,0.9592988791607266,0.0
Min,ddos_dos_rows,64.89660448110517,65.18227516393804,57.14573305104198,32.77347475435035,54.0,60.0,42.0,46.0,1514.0,830.0,4.857244870679186,7.802601408448909,-0.0061326621882744035,0.9292180142322215,0.0
AVG,ddos_dos_rows,89.73523577745587,114.22469507327258,167.19419636296723,196.29009048832674,54.0,60.0,42.0,58.31999969482422,2665.0771484375,2908.840087890625,4.697799909921965,3.812610857292933,-0.13431873939209604,0.9086910879814264,0.0
Tot size,ddos_dos_rows,89.73902063785162,114.22469507327258,166.8577167634753,196.29009048832674,54.0,60.0,42.0,58.31999969482422,2490.64990234375,2908.840087890625,4.679044375980571,3.812610857292933,-0.1344116509445751,0.9083424291557093,0.0
Header_Length,ddos_dos_rows,12222.373807825263,14.228290991185977,62791.78190828046,7.812671031662123,108.0,19.8799991607666,0.0,0.0,7541183.5,56.560001373291016,45.568731568459604,-0.6220169428478144,0.2749551661539462,0.903714887365356,0.0
Max,ddos_dos_rows,122.78960252341287,243.3940434270452,292.5776818452642,541.3430797902303,54.0,60.0,42.0,60.0,4028.75,23234.0,4.601038451653956,6.743143174645716,-0.2771768825560942,0.820748686718423,0.0
Rate,ddos_dos_rows,9318.884796804361,23538.105746857436,76966.42950652208,29636.6635115494,19.094396591186523,18181.560546875,0.0,0.5446376800537109,6291456.0,6291456.0,26.80131223777496,66.37396005851527,-0.2438188509011915,0.6725646947638653,0.0
Variance,ddos_dos_rows,0.09815826649828636,25689.977507071177,0.2030031519954379,114151.6492965943,0.0,0.0,0.0,0.0,0.949999988079071,7410031.5,3.230771067950102,12.5209187071905,-0.318269390014276,0.42749245664539615,0.0
ack_count,ddos_dos_rows,0.05285368840962653,12.202502063005122,0.22688669898206923,29.999371240492955,0.0,0.0,0.0,0.0,3.430000066757202,100.0,4.47105956665499,2.338685807160178,-0.5727355411707689,0.35569766514988654,0.0
ack_flag_number,ddos_dos_rows,0.08218469620194319,0.12214913687027829,0.2746459027768983,0.3001702497917483,0.0,0.0,0.0,0.0,1.0,1.0,3.042574453677239,2.3368119378802326,-0.13891432508070156,0.2958271337938362,0.0
syn_count,ddos_dos_rows,0.44383574266702436,24.41790499467713,0.7883400748100033,42.136550041011816,0.0,0.0,0.0,0.0,6.599999904632568,100.0,1.8001023683953397,1.1805738691734005,-0.80449209921714,0.25623228095717965,0.0
