protocol_value,watai_proportion,merged_proportion,chi2_statistic,chi2_pvalue
0,0.0,0.000585,400000.0,0.0
0.0,1e-05,0.0,400000.0,0.0
0.59,5e-06,0.0,400000.0,0.0
0.6,5e-06,0.0,400000.0,0.0
0.88,5e-06,0.0,400000.0,0.0
0.93,1e-05,0.0,400000.0,0.0
0.94,2.5e-05,0.0,400000.0,0.0
0.95,7e-05,0.0,400000.0,0.0
0.96,0.0001,0.0,400000.0,0.0
0.97,0.000385,0.0,400000.0,0.0
0.9722222,5e-06,0.0,400000.0,0.0
0.98,0.001685,0.0,400000.0,0.0
0.98214287,5e-06,0.0,400000.0,0.0
0.9882353,5e-06,0.0,400000.0,0.0
0.99,0.013315,0.0,400000.0,0.0
1,0.0,0.114125,400000.0,0.0
1.0,0.033985,0.0,400000.0,0.0
1.01,6.5e-05,0.0,400000.0,0.0
1.02,9.5e-05,0.0,400000.0,0.0
1.03,0.00028,0.0,400000.0,0.0
1.04,0.001275,0.0,400000.0,0.0
1.05,0.010415,0.0,400000.0,0.0
1.0561798,5e-06,0.0,400000.0,0.0
1.06,3e-05,0.0,400000.0,0.0
1.07,5.5e-05,0.0,400000.0,0.0
1.08,0.00014,0.0,400000.0,0.0
1.09,0.000335,0.0,400000.0,0.0
1.1,0.00189,0.0,400000.0,0.0
1.11,1.5e-05,0.0,400000.0,0.0
1.12,5e-05,0.0,400000.0,0.0
1.13,0.00013,0.0,400000.0,0.0
1.14,0.000495,0.0,400000.0,0.0
1.15,0.002155,0.0,400000.0,0.0
1.16,0.008835,0.0,400000.0,0.0
1.1648352,5e-06,0.0,400000.0,0.0
1.1666666,5e-06,0.0,400000.0,0.0
1.17,4.5e-05,0.0,400000.0,0.0
1.1724138,5e-06,0.0,400000.0,0.0
1.18,8.5e-05,0.0,400000.0,0.0
1.19,0.000205,0.0,400000.0,0.0
1.2,0.000735,0.0,400000.0,0.0
1.21,0.00132,0.0,400000.0,0.0
1.2105263,5e-06,0.0,400000.0,0.0
1.22,2.5e-05,0.0,400000.0,0.0
1.23,5.5e-05,0.0,400000.0,0.0
1.24,0.00013,0.0,400000.0,0.0
1.2424242,5e-06,0.0,400000.0,0.0
1.25,0.00034,0.0,400000.0,0.0
1.26,0.00039,0.0,400000.0,0.0
1.27,2e-05,0.0,400000.0,0.0
1.28,3e-05,0.0,400000.0,0.0
1.29,0.00011,0.0,400000.0,0.0
1.3,0.000375,0.0,400000.0,0.0
1.31,0.000505,0.0,400000.0,0.0
1.3134328,5e-06,0.0,400000.0,0.0
1.32,0.0013,0.0,400000.0,0.0
1.33,4e-05,0.0,400000.0,0.0
1.34,8e-05,0.0,400000.0,0.0
1.35,0.000175,0.0,400000.0,0.0
1.3571428,5e-06,0.0,400000.0,0.0
1.36,0.000315,0.0,400000.0,0.0
1.37,0.000325,0.0,400000.0,0.0
1.38,3.5e-05,0.0,400000.0,0.0
1.3894737,5e-06,0.0,400000.0,0.0
1.39,4.5e-05,0.0,400000.0,0.0
1.4,0.00017,0.0,400000.0,0.0
1.41,0.0002,0.0,400000.0,0.0
1.42,0.000185,0.0,400000.0,0.0
1.43,4e-05,0.0,400000.0,0.0
1.44,5e-05,0.0,400000.0,0.0
1.45,7.5e-05,0.0,400000.0,0.0
1.46,0.000175,0.0,400000.0,0.0
1.47,0.00019,0.0,400000.0,0.0
1.48,0.00037,0.0,400000.0,0.0
1.4848485,5e-06,0.0,400000.0,0.0
1.49,3.5e-05,0.0,400000.0,0.0
1.5,0.00014,0.0,400000.0,0.0
1.51,0.000115,0.0,400000.0,0.0
1.5121951,5e-06,0.0,400000.0,0.0
1.52,8e-05,0.0,400000.0,0.0
1.53,0.000145,0.0,400000.0,0.0
1.54,3.5e-05,0.0,400000.0,0.0
1.55,7.5e-05,0.0,400000.0,0.0
1.56,7e-05,0.0,400000.0,0.0
1.57,8e-05,0.0,400000.0,0.0
1.58,5.5e-05,0.0,400000.0,0.0
1.59,1.5e-05,0.0,400000.0,0.0
1.6,9e-05,0.0,400000.0,0.0
1.61,5.5e-05,0.0,400000.0,0.0
1.6185567,5e-06,0.0,400000.0,0.0
1.62,8.5e-05,0.0,400000.0,0.0
1.63,8.5e-05,0.0,400000.0,0.0
1.64,0.00014,0.0,400000.0,0.0
1.65,5.5e-05,0.0,400000.0,0.0
1.66,3.5e-05,0.0,400000.0,0.0
