feature,watai_auc,merged_auc,delta
IAT,0.997328347355249,0.5757682542456721,0.42156009310957687
Header_Length,0.644572956553983,0.5482067999651142,0.09636615658886871
ack_flag_number,0.5419916776328023,0.5211902243317045,0.02080145330109784
Min,0.5449048857276853,0.5310458612330322,0.013859024494653038
ICMP,0.5683018643221809,0.5581591791171663,0.010142685205014601
psh_flag_number,0.548230532710921,0.5451895116915451,0.003041021019375978
syn_flag_number,0.5152236844437988,0.5147483181758985,0.00047536626790034564
ack_count,0.5213109943796885,0.5211774544111598,0.00013353996852871752
Number,0.5003674474941515,0.5004291449029858,-6.169740883432695e-05
cwr_flag_number,0.5,0.5000792407902027,-7.924079020271702e-05
ece_flag_number,0.5,0.500208435597981,-0.00020843559798100486
Telnet,0.5,0.500331962025794,-0.00033196202579399703
SMTP,0.5,0.5003489641667742,-0.0003489641667742127
IRC,0.5,0.500359926276393,-0.00035992627639303
DHCP,0.5000112079980275,0.5008093397826858,-0.0007981317846583735
SSH,0.5,0.5009738196238348,-0.000973819623834804
DNS,0.500007285721852,0.5053539276472112,-0.0053466419253591635
HTTP,0.5004920188659059,0.506575236040557,-0.006083217174651101
Max,0.5673680743850351,0.575963012643865,-0.008594938258829843
fin_flag_number,0.5333819232348798,0.542356567972687,-0.008974644737807291
rst_flag_number,0.5307684902478066,0.5431311815914502,-0.01236269134364365
syn_count,0.500423275856691,0.5147476000425815,-0.014324324185890469
TCP,0.5015820479104565,0.522136194092171,-0.020554146181714583
fin_count,0.5139231840603412,0.5423554893268056,-0.02843230526646434
Tot size,0.5625561869183334,0.5927538315693062,-0.030197644650972744
Tot sum,0.5619377608750078,0.5926181856644436,-0.03068042478943578
AVG,0.5613588491418828,0.5927538315693062,-0.031394982427423335
HTTPS,0.5031342580880938,0.5359481239376409,-0.03281386584954715
Std,0.5224913327539362,0.5569330664601266,-0.034441733706190414
LLC,0.5000196113808766,0.5350134817261485,-0.034993870345271905
ARP,0.5000196113808766,0.5350134817261485,-0.034993870345271905
IPv,0.5000196113808766,0.5350134817261485,-0.034993870345271905
Variance,0.5196915484350069,0.556933066674335,-0.037241518239328086
rst_count,0.5019995432652662,0.5431275635062033,-0.04112802024093709
Rate,0.5350628480956692,0.5766972145820763,-0.04163436648640717
UDP,0.5817252430805273,0.6302574197403644,-0.04853217665983711
