feature,watai_avg_ovr_auc,merged_avg_ovr_auc,delta
rst_count,0.7890644377856304,0.5494705476036441,0.2395938901819863
Min,0.7263896729702454,0.6271217756618372,0.09926789730840813
Max,0.8227946008103386,0.7540844666154907,0.06871013419484795
Variance,0.7895192924314577,0.7391459380947231,0.05037335433673462
syn_count,0.620215311758721,0.5706447797279095,0.04957053203081152
Std,0.7838508560867965,0.739145938014178,0.04470491807261845
AVG,0.8146974743726274,0.7768953333353016,0.03780214103732582
Tot size,0.8131436945671269,0.7768953333353016,0.03624836123182529
syn_flag_number,0.5882814863346467,0.5685432552849562,0.019738231049690524
TCP,0.6095929570439018,0.5904420703059847,0.019150886737917094
fin_count,0.5456199678584712,0.538421687648975,0.0071982802094961995
ICMP,0.5494680783894292,0.5438892505774345,0.005578827811994702
Telnet,0.5,0.5006508496456882,-0.0006508496456881785
SMTP,0.5,0.5006635439747442,-0.0006635439747442184
cwr_flag_number,0.5000221277639872,0.500745164008484,-0.0007230362444967664
IRC,0.5,0.5010455424480749,-0.0010455424480748654
ece_flag_number,0.5000221277639872,0.5012391356310808,-0.0012170078670935558
DHCP,0.5000041838006863,0.5045669828318257,-0.00456279903113932
UDP,0.5813107453120474,0.5890863752330934,-0.007775629921045968
Tot sum,0.7397021848965343,0.7477130887182922,-0.008010903821757953
Header_Length,0.727834058529473,0.7414067434267062,-0.013572684897233178
SSH,0.5086551582308851,0.5239688395589255,-0.01531368132804034
fin_flag_number,0.5232054738378726,0.5395813888581195,-0.016375915020246823
rst_flag_number,0.5260597381801826,0.5498437594772623,-0.023784021297079683
HTTP,0.5117745917108482,0.5434988891918155,-0.03172429748096739
DNS,0.5012024282075975,0.5341838619061028,-0.03298143369850526
LLC,0.5015246222331492,0.5409895467768594,-0.0394649245437102
IPv,0.5015246222331492,0.5409895467768594,-0.0394649245437102
ARP,0.5002705672608266,0.5409895467768594,-0.04071897951603276
ack_flag_number,0.6931162067410473,0.7532828039862012,-0.06016659724515383
HTTPS,0.6226611289641957,0.7130820427895762,-0.09042091382538053
psh_flag_number,0.5264950769990219,0.6773631165679717,-0.15086803956894979
ack_count,0.5406030525682829,0.7105231291709679,-0.16992007660268504
IAT,0.6655191042092417,0.8369086517508574,-0.17138954754161573
Rate,0.5514722249008053,0.8334822107778803,-0.28200998587707504
Number,0.522235593688025,0.8170813261955188,-0.2948457325074938
