dataset,class_a,class_b,centroid_distance,avg_intra_class_spread,separation_ratio
watai,Benign,BruteForce,18.41228675842285,1.8803993463516235,9.7916898727417
watai,Benign,DDoS,7.316205978393555,0.9620321989059448,7.604948997497559
watai,Benign,DoS,7.538599014282227,0.8576852679252625,8.789469718933105
watai,Benign,Mirai,6.8341450691223145,0.8450080752372742,8.087668418884277
watai,Benign,Recon,4.906219959259033,1.3407886028289795,3.6592047214508057
watai,Benign,Spoofing,1.9202115535736084,1.7449541091918945,1.1004366874694824
watai,Benign,Web,4.158785820007324,1.3935956954956055,2.984212636947632
watai,BruteForce,DDoS,18.361886978149414,1.5049247741699219,12.201199531555176
watai,BruteForce,DoS,18.417871475219727,1.4005777835845947,13.150195121765137
watai,BruteForce,Mirai,18.721372604370117,1.3879005908966064,13.48898696899414
watai,BruteForce,Recon,17.874691009521484,1.883681058883667,9.48923397064209
watai,BruteForce,Spoofing,18.585901260375977,2.287846565246582,8.123753547668457
watai,BruteForce,Web,17.9055118560791,1.936488389968872,9.246382713317871
watai,DDoS,DoS,0.9680414795875549,0.4822106957435608,2.00750732421875
watai,DDoS,Mirai,4.447826385498047,0.4695335030555725,9.472862243652344
watai,DDoS,Recon,3.701981782913208,0.9653139710426331,3.835002899169922
watai,DDoS,Spoofing,7.455550670623779,1.3694795370101929,5.444076061248779
watai,DDoS,Web,4.665065765380859,1.0181212425231934,4.582033634185791
watai,DoS,Mirai,4.469415187835693,0.36518657207489014,12.238717079162598
watai,DoS,Recon,3.9946911334991455,0.8609670400619507,4.639772415161133
watai,DoS,Spoofing,7.656535625457764,1.2651326656341553,6.051962852478027
watai,DoS,Web,4.904271125793457,0.9137742519378662,5.367048740386963
watai,Mirai,Recon,5.366799831390381,0.8482898473739624,6.326611042022705
watai,Mirai,Spoofing,6.15023136138916,1.2524553537368774,4.910539627075195
watai,Mirai,Web,4.882105827331543,0.9010970592498779,5.417957782745361
watai,Recon,Spoofing,5.473677158355713,1.7482359409332275,3.130971670150757
watai,Recon,Web,2.092637300491333,1.3968775272369385,1.498082160949707
watai,Spoofing,Web,4.4579572677612305,1.8010430335998535,2.4752085208892822
merged,Benign,BruteForce,15.838771032103695,1.4880177431360406,10.644208447893252
merged,Benign,DDoS,6.565345202228662,0.972953688418718,6.747849646265194
merged,Benign,DoS,6.723135072364506,0.8353139509547819,8.048632570639837
merged,Benign,Mirai,7.1183376426316185,0.7772918457602487,9.157869957672538
merged,Benign,Recon,3.5954212888935166,1.4191969994173805,2.5334194550647555
merged,Benign,Spoofing,1.8968778303368912,1.322812572370035,1.4339732400171585
merged,Benign,Web,3.2620133810563137,1.3431512204981486,2.4286270460644754
merged,BruteForce,DDoS,16.73368613988757,1.2272369071772202,13.635253341897032
merged,BruteForce,DoS,16.774968893804804,1.0895971697132842,15.395569445374896
merged,BruteForce,Mirai,17.120485246815196,1.031575064518751,16.59645122849322
merged,BruteForce,Recon,15.462907015719546,1.6734802181758828,9.239970002498348
merged,BruteForce,Spoofing,15.980826674665657,1.5770957911285373,10.133072933528094
merged,BruteForce,Web,15.788275543868384,1.5974344392566509,9.883520197057534
merged,DDoS,DoS,1.4242778612942961,0.5745331149959615,2.4790178740250814
merged,DDoS,Mirai,4.1226618809541415,0.5165110098014283,7.981750248729628
merged,DDoS,Recon,5.3023521056170395,1.1584161634585601,4.577242853540968
merged,DDoS,Spoofing,5.5329112367624225,1.0620317364112146,5.2097419004248104
merged,DDoS,Web,5.682428998025451,1.0823703845393282,5.249985660355971
merged,DoS,Mirai,4.068669751033974,0.3788712723374922,10.738923872300541
merged,DoS,Recon,5.421903593921206,1.0207764259946241,5.311548597567005
merged,DoS,Spoofing,5.639259010776339,0.9243919989472785,6.100506080968326
merged,DoS,Web,5.812022966753685,0.9447306470753921,6.152042367574288
merged,Mirai,Recon,6.593748970870081,0.9627543208000908,6.848838616886589
merged,Mirai,Spoofing,5.9579480279131465,0.8663698937527453,6.876910279171699
merged,Mirai,Web,6.408248472190475,0.8867085418808589,7.227006586174861
merged,Recon,Spoofing,2.758307449584439,1.5082750474098772,1.8287827901954692
merged,Recon,Web,1.41333794045564,1.5286136955379908,0.9245880398567411
merged,Spoofing,Web,2.243809084147854,1.4322292684906452,1.5666549577725726
