feature_a,feature_b,watai_corr,merged_corr,abs_diff,frobenius_norm_full_matrix
IAT,Number,0.9960185486797729,-0.06752628607537489,1.0635448347551477,
fin_flag_number,ack_count,0.9603769321840522,-0.09459030288533282,1.054967235069385,
rst_flag_number,rst_count,-0.032452368180534014,0.9900623391848189,1.0225147073653529,
fin_flag_number,rst_count,-0.030377297829672547,0.9529647068966508,0.9833420047263234,
fin_count,rst_count,-0.017296669957362617,0.9558874364604493,0.9731841064178118,
psh_flag_number,ack_count,-0.05775518728032023,0.913643673691554,0.9713988609718742,
rst_flag_number,ack_count,0.8936159539259633,-0.04433025544596615,0.9379462093719294,
Header_Length,TCP,-0.015448615711061275,0.8973069420003764,0.9127555577114377,
Header_Length,Tot sum,0.4034260499306323,-0.44759057974200417,0.8510166296726365,
ack_flag_number,ack_count,-0.0337498745191964,0.7894682881789186,0.823218162698115,
ack_count,fin_count,0.6118923793987847,-0.09380344301567808,0.7056958224144628,
Std,Number,0.13279782676227223,-0.437271188987826,0.5700690157500983,
Header_Length,rst_count,0.7531363447430982,0.1974716561548568,0.5556646885882415,
HTTPS,Number,0.0018516423360638791,-0.5322022702984196,0.5340539126344834,
Header_Length,Tot size,0.4185240039300939,-0.10340184390930071,0.5219258478393947,
Header_Length,AVG,0.4177510954714025,-0.10340184390930071,0.5211529393807032,
ack_flag_number,Number,0.0005281002463782086,-0.5196880470972726,0.5202161473436507,
Header_Length,Min,0.35414320364093954,-0.16335267288014138,0.5174958765210809,
Max,Number,0.13864035952295378,-0.3657544351352951,0.5043947946582489,
rst_count,Max,0.41289606953971425,-0.08472262938399132,0.4976186989237056,
Tot sum,Variance,0.6010106430868006,0.10588394636772543,0.4951266967190752,
Header_Length,ICMP,-0.06518299268853261,-0.5541701637200094,0.48898717103147676,
rst_count,Tot size,0.3596810571824445,-0.12827848416916504,0.4879595413516095,
rst_count,AVG,0.35912886097028884,-0.12827848416916504,0.4874073451394539,
rst_count,Std,0.4009598628896464,-0.07956058590871173,0.48052044879835815,
rst_count,HTTPS,0.4715175645314118,-0.006810732308641682,0.4783282968400535,
ack_flag_number,rst_count,0.3812038568571441,-0.08771709726686033,0.4689209541240044,
Header_Length,syn_flag_number,-0.11624187605439061,0.3486762129404447,0.46491808899483533,
rst_count,Tot sum,0.34369811500181346,-0.11715654386074331,0.4608546588625568,
Tot sum,Max,0.8401636528261405,0.3930754318900456,0.44708822093609485,
Header_Length,UDP,0.0736407972680513,-0.34372824498844556,0.41736904225649685,
Tot sum,Std,0.7772422681425356,0.36440956890118226,0.41283269924135335,
Header_Length,Number,0.005540702599962274,-0.3961522690413977,0.40169297164136,
HTTPS,Tot sum,0.28525414186335085,-0.11474767312086191,0.4000018149842128,
fin_flag_number,fin_count,0.6056099753969761,0.9977206861317423,0.3921107107347661,
rst_count,Variance,0.3360403650911963,-0.030889726688103164,0.36693009177929947,
Header_Length,syn_count,-0.029847556971173816,0.33646343987600474,0.36631099684717855,
Number,Variance,0.10638927594741301,-0.23601416444906043,0.3424034403964734,
DNS,Number,0.010810678348862563,-0.32888810755850567,0.33969878590736824,
ack_flag_number,Tot sum,0.22730424028063617,-0.1051570403440646,0.33246128062470076,
