removed_feature,subtask,model,baseline_macro_f1,after_removal_macro_f1,drop
flow_duration,overall,xgboost_heavy,0.8252712840641543,0.8081160734431035,0.017155210621050743
flow_duration,overall,decision_tree_lite,0.7353255025548099,0.7342368162566345,0.0010886862981753787
flow_duration,flood,xgboost_heavy,0.9995361236847483,0.9995310747225763,5.048962172016225e-06
flow_duration,flood,decision_tree_lite,0.9996772752347987,0.9996974249656887,-2.014973089004002e-05
Duration,overall,xgboost_heavy,0.8252712840641543,0.8200237955789452,0.005247488485209062
Duration,overall,decision_tree_lite,0.7353255025548099,0.7353271451902444,-1.642635434562223e-06
Duration,flood,xgboost_heavy,0.9995361236847483,0.9995109058934398,2.5217791308485005e-05
Duration,flood,decision_tree_lite,0.9996772752347987,0.9996924014647885,-1.5126229989892437e-05
Srate,overall,xgboost_heavy,0.8252712840641543,0.8228521944527869,0.0024190896113673865
Srate,overall,decision_tree_lite,0.7353255025548099,0.7353013485305249,2.4154024285016895e-05
Srate,flood,xgboost_heavy,0.9995361236847483,0.9995260348159107,1.0088868837576648e-05
Srate,flood,decision_tree_lite,0.9996772752347987,0.9996873603837112,-1.0085148912541975e-05
Drate,overall,xgboost_heavy,0.8252712840641543,0.8216144453831837,0.0036568386809705533
Drate,overall,decision_tree_lite,0.7353255025548099,0.7352568723269237,6.863022788616835e-05
Drate,flood,xgboost_heavy,0.9995361236847483,0.9995361146781512,9.00659713476415e-09
Drate,flood,decision_tree_lite,0.9996772752347987,0.9996571082663852,2.016696841344867e-05
urg_count,overall,xgboost_heavy,0.8252712840641543,0.8189441515347844,0.006327132529369894
urg_count,overall,decision_tree_lite,0.7353255025548099,0.7347454593793261,0.0005800431754837687
urg_count,flood,xgboost_heavy,0.9995361236847483,0.9995361191815297,4.5032185758131504e-09
urg_count,flood,decision_tree_lite,0.9996772752347987,0.9996873603837112,-1.0085148912541975e-05
Magnitue,overall,xgboost_heavy,0.8252712840641543,0.8231437821224973,0.0021275019416570062
Magnitue,overall,decision_tree_lite,0.7353255025548099,0.7340467828080834,0.0012787197467264422
Magnitue,flood,xgboost_heavy,0.9995361236847483,0.9995159598481465,2.016383660186083e-05
Magnitue,flood,decision_tree_lite,0.9996772752347987,0.9996772752347987,0.0
Radius,overall,xgboost_heavy,0.8252712840641543,0.8232982759256837,0.0019730081384705667
Radius,overall,decision_tree_lite,0.7353255025548099,0.7351982319611092,0.00012727059370065685
Radius,flood,xgboost_heavy,0.9995361236847483,0.9995310838269096,5.039857838728956e-06
Radius,flood,decision_tree_lite,0.9996772752347987,0.9996974455326237,-2.017029782508395e-05
Covariance,overall,xgboost_heavy,0.8252712840641543,0.8241727105400203,0.0010985735241340056
Covariance,overall,decision_tree_lite,0.7353255025548099,0.7352444446782368,8.105787657308738e-05
Covariance,flood,xgboost_heavy,0.9995361236847483,0.9995411635914941,-5.039906745829548e-06
Covariance,flood,decision_tree_lite,0.9996772752347987,0.9996974455326237,-2.017029782508395e-05
Weight,overall,xgboost_heavy,0.8252712840641543,0.8256266013566271,-0.0003553172924728454
Weight,overall,decision_tree_lite,0.7353255025548099,0.7352502488529298,7.525370188010694e-05
Weight,flood,xgboost_heavy,0.9995361236847483,0.999561327966281,-2.5204281532742456e-05
Weight,flood,decision_tree_lite,0.9996772752347987,0.9996974455326237,-2.017029782508395e-05
