dataset,feature,gini_importance,gini_rank,pearson_survivor,selected_heavy_top25,selected_lite_top15
watai,IAT,0.4038943023574789,1.0,True,True,True
watai,AVG,0.19021330761272986,2.0,True,True,True
watai,rst_count,0.1797539528663439,3.0,True,True,True
watai,Min,0.056874224940324875,4.0,True,True,True
watai,Tot sum,0.03123434655869257,5.0,True,True,True
watai,Variance,0.022311629986395243,6.0,True,True,True
watai,Rate,0.02119341941037243,7.0,True,True,True
watai,flow_duration,0.017915556699746014,8.0,True,True,True
watai,Header_Length,0.017326115148225456,9.0,True,True,True
watai,urg_count,0.012027987305646849,10.0,True,True,True
watai,Covariance,0.00780224533216571,11.0,True,True,True
watai,Duration,0.006525296185264272,12.0,True,True,True
watai,UDP,0.006214409472702501,13.0,True,True,True
watai,syn_count,0.005166856738503704,14.0,True,True,True
watai,HTTPS,0.004004951848472563,15.0,True,True,True
watai,Tot size,0.0037702916146905704,16.0,True,True,False
watai,Protocol Type,0.0027786279063326653,17.0,True,True,False
watai,Max,0.0026743859485338383,18.0,True,True,False
watai,ack_count,0.002234664838530167,19.0,True,True,False
watai,fin_count,0.002212785463502012,20.0,True,True,False
watai,HTTP,0.0019532496164561763,21.0,True,True,False
watai,TCP,0.0006921872139681963,22.0,True,True,False
watai,ack_flag_number,0.00036528521201366506,23.0,True,True,False
watai,SSH,0.0003373079672304111,24.0,True,True,False
watai,psh_flag_number,0.00018922672405153368,25.0,True,True,False
watai,syn_flag_number,0.00016334135747742457,26.0,True,False,False
watai,ICMP,7.635756015990353e-05,27.0,True,False,False
watai,DNS,4.803440954274724e-05,28.0,True,False,False
watai,IPv,3.110077707719519e-05,29.0,True,False,False
watai,ARP,8.182449135304115e-06,30.0,True,False,False
watai,fin_flag_number,4.269727608406367e-06,31.0,True,False,False
watai,cwr_flag_number,2.098750624852704e-06,32.0,True,False,False
watai,Drate,0.0,33.0,True,False,False
watai,rst_flag_number,0.0,34.0,True,False,False
watai,ece_flag_number,0.0,35.0,True,False,False
watai,SMTP,0.0,36.0,True,False,False
watai,Telnet,0.0,37.0,True,False,False
watai,DHCP,0.0,38.0,True,False,False
watai,IRC,0.0,39.0,True,False,False
watai,Srate,,,False,False,False
watai,LLC,,,False,False,False
watai,Std,,,False,False,False
watai,Number,,,False,False,False
watai,Radius,,,False,False,False
watai,Weight,,,False,False,False
merged,AVG,0.21583961565135268,1.0,True,True,True
merged,Number,0.20260019344028357,2.0,True,True,True
merged,Rate,0.09103277461785482,3.0,True,True,True
merged,Max,0.06306750235380906,4.0,True,True,True
merged,IAT,0.05749646787575112,5.0,True,True,True
merged,Variance,0.05324998687980915,6.0,True,True,True
merged,HTTPS,0.052094457113316936,7.0,True,True,True
merged,Min,0.04945646475564248,8.0,True,True,True
merged,Time_To_Live,0.0396866384749994,9.0,True,True,True
merged,psh_flag_number,0.029911746172698057,10.0,True,True,True
merged,syn_flag_number,0.027800324604454665,11.0,True,True,True
merged,fin_flag_number,0.026273212060724967,12.0,True,True,True
merged,ICMP,0.022928383520310593,13.0,True,True,True
merged,Header_Length,0.015627927087743933,14.0,True,True,True
merged,Tot sum,0.013171547535799475,15.0,True,True,True
merged,HTTP,0.006218434456161759,16.0,True,True,False
merged,UDP,0.005698473015125854,17.0,True,True,False
merged,ack_flag_number,0.005132720433672126,18.0,True,True,False
merged,DNS,0.004056344306657517,19.0,True,True,False
merged,TCP,0.004020337715427266,20.0,True,True,False
merged,rst_flag_number,0.0038223410210353453,21.0,True,True,False
merged,ack_count,0.003493560718297354,22.0,True,True,False
merged,ARP,0.0033604513587572903,23.0,True,True,False
merged,SSH,0.0019304130548483882,24.0,True,True,False
merged,DHCP,0.0006928902139989471,25.0,True,True,False
merged,ece_flag_number,0.0006239185513674517,26.0,True,False,False
merged,Protocol Type,0.0003238655196654531,27.0,True,False,False
merged,IGMP,0.000154559001842795,28.0,True,False,False
merged,IRC,0.00010024553628431581,29.0,True,False,False
merged,cwr_flag_number,6.195151415287576e-05,30.0,True,False,False
merged,SMTP,4.0507870523922855e-05,31.0,True,False,False
merged,Telnet,3.174356763032467e-05,32.0,True,False,False
merged,syn_count,,,False,False,False
merged,fin_count,,,False,False,False
merged,rst_count,,,False,False,False
merged,IPv,,,False,False,False
merged,LLC,,,False,False,False
merged,Std,,,False,False,False
merged,Tot size,,,False,False,False
