2026-09-25 20:27:10,485 __main__ INFO Mode: manifest
2026-09-25 20:27:10,499 __main__ INFO Replay 1: pre-selected/replay_pcaps_contiguous/Benign_Final/BenignTraffic_contiguous_sample.pcap (expected=Benign_Final, 
2026-09-25 20:27:10,500 __main__ INFO Replay 1: using replay_speed=1.0x MAX_DELAY=0.15000000000000002
2026-09-25 20:27:10,500 TRAFFIC-GEN INFO REPLAY | effective replay_speed=1.0, MAX_DELAY=0.15000000000000002
2026-09-25 20:27:10,513 TRAFFIC-GEN INFO REPLAY | BenignTraffic_contiguous_sample.pcap | 192.168.100.2 -> 192.168.100.1 | speed=1.0x
2026-09-25 20:27:10,517 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=0 (1494B original, 2 chunk(s)) — 1 sent so far
2026-09-25 20:27:13,862 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=499 (1514B original, 2 chunk(s)) — 500 sent so far
2026-09-25 20:27:15,504 TRAFFIC-GEN ERROR send() failed on packet 740: [Errno 101] Network is unreachable
2026-09-25 20:27:15,510 TRAFFIC-GEN ERROR send() failed on packet 741: [Errno 101] Network is unreachable
2026-09-25 20:27:15,513 TRAFFIC-GEN ERROR send() failed on packet 742: [Errno 101] Network is unreachable
2026-09-25 20:27:18,321 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=1009 (131B original, 1 chunk(s)) — 1000 sent so far
2026-09-25 20:27:21,944 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=1509 (60B original, 1 chunk(s)) — 1500 sent so far
2026-09-25 20:27:25,973 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=2009 (317B original, 1 chunk(s)) — 2000 sent so far
2026-09-25 20:27:35,075 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=2509 (102B original, 1 chunk(s)) — 2500 sent so far
2026-09-25 20:27:44,435 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=3009 (66B original, 1 chunk(s)) — 3000 sent so far
2026-09-25 20:27:54,122 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=3509 (66B original, 1 chunk(s)) — 3500 sent so far
2026-09-25 20:28:04,018 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=4009 (108B original, 1 chunk(s)) — 4000 sent so far
2026-09-25 20:28:11,829 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=4509 (66B original, 1 chunk(s)) — 4500 sent so far
2026-09-25 20:28:18,145 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=5009 (66B original, 1 chunk(s)) — 5000 sent so far
2026-09-25 20:28:28,030 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=5509 (66B original, 1 chunk(s)) — 5500 sent so far
2026-09-25 20:28:37,245 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=6009 (66B original, 1 chunk(s)) — 6000 sent so far
2026-09-25 20:28:48,182 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=6509 (262B original, 1 chunk(s)) — 6500 sent so far
2026-09-25 20:28:58,800 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=7009 (60B original, 1 chunk(s)) — 7000 sent so far
2026-09-25 20:29:08,828 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=7509 (78B original, 1 chunk(s)) — 7500 sent so far
2026-09-25 20:29:16,827 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=8009 (357B original, 1 chunk(s)) — 8000 sent so far
2026-09-25 20:29:26,683 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=8509 (178B original, 1 chunk(s)) — 8500 sent so far
2026-09-25 20:29:36,432 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=9009 (66B original, 1 chunk(s)) — 9000 sent so far
2026-09-25 20:29:48,171 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=9509 (60B original, 1 chunk(s)) — 9500 sent so far
2026-09-25 20:29:59,469 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=10009 (262B original, 1 chunk(s)) — 10000 sent so far
2026-09-25 20:30:11,125 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=10509 (74B original, 1 chunk(s)) — 10500 sent so far
2026-09-25 20:30:21,627 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=11009 (66B original, 1 chunk(s)) — 11000 sent so far
2026-09-25 20:30:32,309 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=11509 (66B original, 1 chunk(s)) — 11500 sent so far
2026-09-25 20:30:42,618 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=12009 (86B original, 1 chunk(s)) — 12000 sent so far
2026-09-25 20:30:52,306 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=12509 (66B original, 1 chunk(s)) — 12500 sent so far
2026-09-25 20:31:03,942 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=13009 (66B original, 1 chunk(s)) — 13000 sent so far
2026-09-25 20:31:16,057 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=13509 (66B original, 1 chunk(s)) — 13500 sent so far
2026-09-25 20:31:27,877 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=14009 (164B original, 1 chunk(s)) — 14000 sent so far
2026-09-25 20:31:38,754 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=14509 (357B original, 1 chunk(s)) — 14500 sent so far
2026-09-25 20:31:42,709 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=15009 (66B original, 1 chunk(s)) — 15000 sent so far
2026-09-25 20:31:43,701 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=15509 (66B original, 1 chunk(s)) — 15500 sent so far
2026-09-25 20:31:44,778 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=16009 (66B original, 1 chunk(s)) — 16000 sent so far
2026-09-25 20:31:55,667 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=16509 (62B original, 1 chunk(s)) — 16500 sent so far
2026-09-25 20:32:06,811 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=17009 (230B original, 1 chunk(s)) — 17000 sent so far
2026-09-25 20:32:19,565 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=17509 (60B original, 1 chunk(s)) — 17500 sent so far
2026-09-25 20:32:31,978 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=18009 (66B original, 1 chunk(s)) — 18000 sent so far
2026-09-25 20:32:42,505 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=18509 (60B original, 1 chunk(s)) — 18500 sent so far
2026-09-25 20:32:50,522 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=19009 (214B original, 1 chunk(s)) — 19000 sent so far
2026-09-25 20:33:00,762 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=19509 (86B original, 1 chunk(s)) — 19500 sent so far
2026-09-25 20:33:13,939 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=20009 (74B original, 1 chunk(s)) — 20000 sent so far
2026-09-25 20:33:23,548 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=20509 (86B original, 1 chunk(s)) — 20500 sent so far
2026-09-25 20:33:34,197 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=21009 (73B original, 1 chunk(s)) — 21000 sent so far
2026-09-25 20:33:44,974 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=21509 (60B original, 1 chunk(s)) — 21500 sent so far
2026-09-25 20:33:57,650 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=22009 (66B original, 1 chunk(s)) — 22000 sent so far
2026-09-25 20:34:05,987 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=22509 (74B original, 1 chunk(s)) — 22500 sent so far
2026-09-25 20:34:16,891 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=23009 (199B original, 1 chunk(s)) — 23000 sent so far
2026-09-25 20:34:27,018 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=23509 (87B original, 1 chunk(s)) — 23500 sent so far
2026-09-25 20:34:39,599 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=24009 (74B original, 1 chunk(s)) — 24000 sent so far
2026-09-25 20:34:50,292 TRAFFIC-GEN INFO REPLAY | 192.168.100.2 to 192.168.100.1 | packet_id=24509 (66B original, 1 chunk(s)) — 24500 sent so far
